"File","Lines","HasTOC","HasDeepSection","HasPlaceholderDeep","HasExamples","HasSummary","IsMinimal"
"11_Performance_Engineering\06_Energy_Efficiency\02_Battery_Optimization.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\02_AVL_Tree.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\42_Digital_Signal_Processor\01_DSP_Algorithms.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\41_Neural_Network_Inference\01_NN_Inference_Engine.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\12_Team_Collaboration\02_Open_Source_Governance.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\43_Virtual_Reality\01_VR_Rendering_Engine.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\06_Debuggers\01_GDB_Advanced_Techniques.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\07_Build_Systems\01_Meson_Build_System.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\40_Robotic_Arm\01_Robot_Kinematics.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\05_Static_Analyzers\01_Clang_Static_Analyzer.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\10_Continuous_Integration\01_CMake_CI_CD.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\10_Continuous_Integration\02_Docker_for_C.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\09_Legacy_Code\01_Refactoring_C_Code.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\09_Legacy_Code\02_Working_with_Legacy_Systems.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\11_Documentation_Standards\02_Architecture_Documentation.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\12_Team_Collaboration\01_Git_Workflows.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\10_Continuous_Integration\03_Quality_Gates.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\11_Documentation_Standards\01_C_API_Documentation.md","35","No","No","No","No","No","Yes"
"09_Cross_Platform_Development\04_Mobile_Platforms\01_Android_NDK.md","35","No","No","No","No","No","Yes"
"09_Cross_Platform_Development\05_Web_Assembly\01_C_to_WASM.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\11_Code_Generation\02_AST_Transformation.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\38_Autonomous_Driving\01_Autonomous_Driving_Platform.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\04_Advanced_Algorithms\03_Numerical_Algorithms.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\01_Red_Black_Tree.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\04_Advanced_Algorithms\01_Graph_Algorithms.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\04_Advanced_Algorithms\02_String_Algorithms.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\08_Testing_Tools\02_Fuzzing_with_LibFuzzer.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\09_Package_Managers\01_vcpkg_Usage.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\07_Build_Systems\02_Bazel_for_C.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\08_Testing_Tools\01_GTest_Integration.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\10_IDE_Integration\02_CLion_C_Projects.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\11_Code_Generation\01_Annoying_Tools.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\09_Package_Managers\02_Conan_Package_Manager.md","35","No","No","No","No","No","Yes"
"08_Toolchain_Ecosystem\10_IDE_Integration\01_VSCode_C_Development.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\27_Metrics_System.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\14_Advanced_Memory\02_Memory_Debugging_Techniques.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\14_Advanced_Memory\03_Memory_Mapping_Techniques.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\26_Portability\01_Portable_C_Code.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\26_Portability\02_Cross_Compilation.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\20_Macros_Preprocessor\01_Advanced_Macros.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\19_Search_Engine\01_Search_Engine_Core.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\24_Code_Quality\02_Static_Analysis_Tools.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\25_C_Interfacing\01_Calling_Conventions.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\19_Advanced_Pointers\02_Pointer_Aliasing.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\25_C_Interfacing\02_FFI_with_Other_Languages.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\11_Logic_and_Proof\03_Model_Checking.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\11_Logic_and_Proof\02_Separation_Logic.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\18_Bit_Manipulation\02_Endianness_Packing.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\22_Testing_Techniques\01_Unit_Testing_C.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\12_Category_Theory\02_Monads_and_Computation.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\21_Error_Handling\01_Error_Handling_Patterns.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\20_Macros_Preprocessor\02_Header_Guards.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\27_Internationalization\01_Unicode_in_C.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\11_Logic_and_Proof\01_Hoare_Logic.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\21_Error_Handling\02_Resource_Management.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\30_WAF\01_Web_Application_Firewall.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\31_Identity_Management\01_Authentication_System.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\09_Type_Theory\01_Hindley_Milner_Type_Inference.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\10_Complexity_Theory\01_Computational_Complexity.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\09_Type_Theory\02_Dependent_Types_Basics.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\17_Numerical_Computing\02_Numerical_Stability.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\18_Bit_Manipulation\01_Bit_Hacks.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\17_Numerical_Computing\01_Floating_Point_Arithmetic.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\32_Video_Streaming\01_Video_Streaming_Server.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\16_Linked_Data_Structures\02_Tree_Variants.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\16_Linked_Data_Structures\01_Linked_List_Variants.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\19_Advanced_Pointers\01_Function_Pointers.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\21_Message_Queue\01_Message_Queue_Implementation.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\15_Compiler_Basics\01_Lexical_Analysis.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\15_Compiler_Basics\02_Syntactic_Analysis.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\29_DDOS_Protection\01_DDOS_Mitigation_System.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\10_Complexity_Theory\02_Algorithmic_Lower_Bounds.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\26_Service_Mesh\01_Service_Mesh_Data_Plane.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\22_Time_Series_DB\01_Time_Series_Engine.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\25_Load_Balancer\01_Load_Balancer_Implementation.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\12_Advanced_Topics\04_Inter_Process_Communication.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\28_Library_Design\01_Library_ABI_Stability.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\12_Advanced_Topics\03_Signal_Handling.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\28_Library_Design\02_Versioning_Strategies.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\12_Advanced_Topics\02_Atomic_Operations_Deep.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\13_Design_Patterns\03_C_Memory_Patterns.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\27_Internationalization\02_Text_Processing.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\13_Design_Patterns\02_C_Concurrency_Patterns.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\27_Internationalization\03_Date_Time_Locale.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\13_Design_Patterns\01_C_OOP_Patterns.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\28_Tracing_System.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\29_Build_Systems\01_Makefiles.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\23_Documentation\02_API_Design.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\12_Category_Theory\01_Category_Theory_Basics.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\29_Build_Systems\03_Compilation_Model.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\12_Advanced_Topics\01_Volatile_And_Memory_Barriers.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\34_Game_Engine\01_Game_Engine_Architecture.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\09_Language_Server\01_Clangd_Implementation.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\33_CDN\01_CDN_Edge_Server.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\37_Quantum_Computing_Simulator.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\22_Testing_Techniques\02_Integration_Testing.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\23_Documentation\01_Code_Comments.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\24_Code_Quality\01_Code_Metrics.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\14_Information_Theory\01_Information_Theory_Basics.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\36_Mobile_OS\01_Mobile_OS_Kernel.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\35_Browser_Engine\01_Browser_Rendering_Engine.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\14_Information_Theory\02_Error_Correcting_Codes.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\14_Advanced_Memory\01_Custom_Memory_Allocators.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\10_File_System\01_FUSE_File_System.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\14_Compiler_Backend\01_LLVMC_Backend.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\13_Emulator\01_CPU_Emulator.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\18_Blockchain\01_Blockchain_Core.md","35","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\29_Build_Systems\02_CMake_Basics.md","35","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\13_Lambda_Calculus\01_Lambda_Calculus_Basics.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\12_Rust_Interop\01_Rust_C_Interoperability.md","44","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\A1_Martin_Lof_Type_Theory.md","44","No","No","No","No","No","Yes"
"01_Core_Knowledge_System\04_Standard_Library_Layer\Standard_Library_Internals\README.md","46","No","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\11_Category_Theory_Computing\01_Category_Theory_for_Programmers.md","47","No","No","No","No","No","Yes"
"03_System_Technology_Domains\11_Embedded_Systems\01_Embedded_C_Programming_Principles.md","47","No","No","No","No","No","Yes"
"04_Industrial_Scenarios\Classic_C_Projects\README.md","48","No","No","No","No","No","Yes"
"03_System_Technology_Domains\14_Concurrency_Parallelism\README.md","49","Yes","No","No","No","No","Yes"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\lean_examples\README.md","72","No","No","No","No","No","No"
"03_System_Technology_Domains\03_OS_Internals\04_Real_Time_Scheduling_Deep_Dive.md","80","No","No","No","No","No","No"
"03_System_Technology_Domains\06_High_Performance_Server\03_High_Performance_Server_Case_Study.md","81","No","No","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\G1_Mathlib4_Typeclass.md","85","No","No","No","Yes","No","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\A2_CoC_Proof_Erasure.md","85","No","No","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\G2_Extraction_Verified_Code.md","88","No","No","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\H3_Cubical_Type_Theory.md","98","No","No","No","Yes","No","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\H1_Quotient_Types.md","99","No","No","No","Yes","No","No"
"06_Thinking_Representation\02_Comparison_Matrices\06_Compiler_Options_Matrix.md","173","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\13_Hardware_Description\04_HLS_with_C\README.md","176","No","Yes","No","No","No","No"
"06_Thinking_Representation\06_Index\README.md","177","No","Yes","No","No","No","No"
"06_Thinking_Representation\02_Comparison_Matrices\01_Pointer_Types_Matrix.md","179","No","Yes","No","No","No","No"
"06_Thinking_Representation\02_Comparison_Matrices\05_Compiler_Optimization_Matrix.md","198","No","Yes","No","No","No","No"
"06_Thinking_Representation\02_Comparison_Matrices\04_Memory_Allocation_Matrix.md","203","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\00_MISRA_C_2023_Index.md","206","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\11_CompCert_Verification\06_Coq_Examples\README.md","206","No","Yes","No","No","No","No"
"04_Industrial_Scenarios\16_MIT_6S081_Labs\README.md","212","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\08_RISCV_CPU_Complete\README.md","214","No","Yes","No","No","No","No"
"04_Industrial_Scenarios\17_CMU_15_213_Labs\README.md","216","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\06_TLA_Plus\README.md","218","No","Yes","No","No","No","No"
"04_Industrial_Scenarios\15_Industrial_Communication\Data_Link_Layer\README.md","218","No","Yes","No","No","No","No"
"17_Ada_SPARK\README.md","220","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\xdc\README.md","221","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\14_C_to_Hardware_Mapping\README.md","221","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\09_Interrupt_Hardware\README.md","222","No","Yes","No","No","No","No"
"04_Industrial_Scenarios\15_Industrial_Communication\Physical_Layer\README.md","223","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\16_Performance_Analysis_Hardware\README.md","224","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\UPDATE_2026_03_18.md","225","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\20_Industrial_Case_Studies\README.md","227","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\10_IO_System\README.md","231","No","Yes","No","No","No","No"
"14_Video_Tutorials\04_Video_Production_Guide\README.md","232","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\README.md","233","No","Yes","No","No","No","No"
"03_System_Technology_Domains\17_Graphics_Rendering\README.md","235","No","Yes","No","No","No","No"
"03_System_Technology_Domains\06_Security_Boot\README.md","235","No","Yes","No","No","No","No"
"00_VERSION_TRACKING\reports\c2y_report_20260319.md","236","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\code\lab3\README.md","237","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\README.md","237","Yes","Yes","No","No","No","No"
"16_Embedded_AI_Agents\04_C_Implementation_Guide\README.md","237","No","Yes","No","No","No","No"
"15_Memory_Safe_Languages\02_Migration_Strategies\README.md","237","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\code\lab4\README.md","238","No","Yes","No","No","No","No"
